"","TC.num","T.confusum","T.freemani","T.madens","Location"
"374","TC014001",0.032258065,0.028761062,0.047794118,"Autosome"
"375","TC014576",0.032258065,0.122807018,0.135416667,"Autosome"
"376","TC016268",0.032258065,0.027692308,0.130563798,"Autosome"
"377","TC010716",0.032338309,0.017283951,0.009950249,"Autosome"
"378","TC012826",0.032388664,0.014234875,0.030769231,"Autosome"
"379","TC016035",0.032490975,0.026022305,0.024390244,"Autosome"
"380","TC003505",0.03257329,0.018442623,0.048780488,"Autosome"
"381","TC009291",0.032786885,0.090909091,0.035555556,"Autosome"
"382","TC002708",0.032835821,0.040856031,0.079545455,"Autosome"
"383","TC007669",0.032921811,0.03163017,0.052631579,"Autosome"
"384","TC007215",0.033057851,0.085526316,0.06,"Autosome"
"385","TC008944",0.03307888,0.004158004,0.046728972,"Autosome"
"386","TC009900",0.033175356,0.028169014,0.044052863,"Autosome"
"387","TC002755",0.033333333,0.11898017,0.034246575,"Autosome"
"388","TC014307",0.033426184,0.010335917,0.018567639,"Autosome"
"389","TC008309",0.033434651,0.021978022,0.028571429,"Autosome"
"390","TC008052",0.03373494,0.052631579,0.068866571,"Autosome"
"391","TC000897",0.033898305,0.081967213,0.102739726,"Autosome"
"392","TC002788",0.033950617,0,0.009230769,"Autosome"
"393","TC002996",0.034090909,0.048,0.029069767,"Autosome"
"394","TC003682",0.034090909,0.018018018,0.054054054,"Autosome"
"395","TC000145",0.034129693,0.030716724,0.038314176,"Autosome"
"396","TC008978",0.034129693,0.020958084,0.03880597,"Autosome"
"397","TC001521",0.034188034,0.018404908,0.023006135,"Autosome"
"398","TC013100",0.034188034,0.074074074,0.051612903,"Autosome"
"399","TC003725",0.034391534,0.029473684,0.028824834,"Autosome"
"400","TC000646",0.034482759,0.122596154,0.063492064,"Autosome"
"401","TC011246",0.034482759,0.043478261,0.045454546,"Autosome"
"402","TC014912",0.034482759,0.018072289,0.019230769,"Autosome"
"403","TC010017",0.034567901,0.020408163,0.05720339,"Autosome"
"404","TC016382",0.034567901,0.018711019,0.036407767,"Autosome"
"405","TC002702",0.034632035,0.05514158,0.045592705,"Autosome"
"406","TC007360",0.034722222,0.06031746,0.091603053,"Autosome"
"407","TC011767",0.034782609,0.038327526,0.069686411,"Autosome"
"408","TC011147",0.034883721,0.111324376,0.124031008,"Autosome"
"409","TC014304",0.034883721,0.034285714,0.054878049,"Autosome"
"410","TC004472",0.034965035,0.040268456,0.082417582,"Autosome"
"411","TC014766",0.034965035,0.094155844,0.053763441,"Autosome"
"412","TC013548",0.035087719,0.01025641,0.01025641,"Autosome"
"413","TC001597",0.035110533,0.041013825,0.044400592,"Autosome"
"414","TC010145",0.035175879,0.108401084,0.01980198,"Autosome"
"415","TC006087",0.035294118,0.078549849,0.103603604,"Autosome"
"416","TC011906",0.035294118,0.038054968,0.148453608,"Autosome"
"417","TC013263",0.035294118,0.025352113,0.062322946,"Autosome"
"418","TC003115",0.035369775,0.013793103,0.042477876,"Autosome"
"419","TC000663",0.035377359,0.070435589,0.060945274,"Autosome"
"420","TC009271",0.03539823,0.085580305,0.026785714,"Autosome"
"421","TC003013",0.035460993,0.010050251,0.030769231,"Autosome"
"422","TC003364",0.035460993,0.023684211,0.038461539,"Autosome"
"423","TC003577",0.035460993,0.006872852,0.035714286,"Autosome"
"424","TC014448",0.035460993,0.010380623,0.058823529,"Autosome"
"425","TC013673",0.035487959,0.018202503,0.03358209,"Autosome"
"426","TC008361",0.035639413,0.0224,0.031525851,"Autosome"
"427","TC007372",0.035714286,0.020134228,0.064285714,"Autosome"
"428","TC003473",0.035971223,0.047619048,0.071428571,"Autosome"
"429","TC008034",0.035971223,0.048257373,0.097297297,"Autosome"
"430","TC008943",0.036036036,0,0.06235012,"Autosome"
"431","TC014146",0.036036036,0.018181818,0.027027027,"Autosome"
"432","TC010299",0.036117382,0.034285714,0.05399061,"Autosome"
"433","TC007054",0.036144578,0,0.101449275,"Autosome"
"434","TC000488",0.036199095,0.055837564,0.032,"Autosome"
"435","TC012331",0.036231884,0.037593985,0.033018868,"Autosome"
"436","TC013739",0.036231884,0.047919958,0.089518414,"Autosome"
